0)byfreeshock     by free shock 
776)integrationofthevelocityprofileatthethroatofaflownozzle     integration of the velocity profile at the throat of a flown o z z l e 
777)analysisoftheinfluencevariousaerodynamicparametershaveon     analysis of the influence various aerodynamic parameters have on 
778)theresultsarepresentedforaflighttestprogramusingafighter     there s u l t s are presented for a flight test program using a fighter 
779)accurateexperimentaldataaregivenontheshapeandthelocation     accurate experimental data are given on the shape and the location 
780)adiabaticwalltemperaturesandrecoveryfactorsarecalculated     adiabatic wall temperatures and recovery factors are calculated 
781)thefirstpartofthepaperdealswiththelowspeedaerodynamicsof     the first part of the paper deals with the lowspeed aerodynamics of 
782)thepresentworkisconcernedwiththedeterminationoftransient     the present work is concerned with the determination of transient 
783)ananalysisispresentedfordeterminingthecollapseofcircular     an analysis is presented for determining the collapse of circular 
784)existingconfigurationsofsupersonicportionofrocketnozzles     existing configurations of supersonic portion ofr oc k et nozzles 
785)equationsbasedonnewtonianimpacttheoryhavebeenderivedanda     equations based on newtonian impact theory have been derived and a 
786)theviscoustransversecurvatureeffectincompressibleaxially     the viscous transverse curvature effect incompressible axially 
787)experimentalconfirmationhasbeenrequiredthatinasupersonic     experimental confirmation has been required that in as up er sonic 
788)theproblemofdeterminingthestabilityofcompressibleviscous     the problem of determining the stability of compressible viscous 
789)asupersoniccompressordesignhavingsupersonicvelocityatthe     as up er sonic compressor design having supersonic velocity at the 
790)secondapproximationforthepropagationandstructureofablast     second approximation forth e propagation and structure of ab last 
791)thesimilaritylawsforaerothermoelastictestingarepresented     the similarity laws for aerothermoelastic testing are presented 
792)ontheassumptionthattheforcedmodesofvibrationofastructure     on the assumption that the forced modes of vibration of as tr u c ture 
793)thisaddendumprovidesashortnoteontwoaspectsomittedfromthe     this addendum provides as h or tn o t e on two aspects omitted from the 
794)thetheoreticalestimationofthebucklingstrengthofacylinder     the theoretical estimation of the buckling strength of a cylinder 
795)machnumberandflowangledistributionsintheworkingsectionof     machnumber and flow angle distributions in the workingsection of 
796)hypersonicviscousflowoveraninsulatedflatplatewithsurface     hypersonic viscous flow over an insulated flatplate with surface 
797)thelinearizedequationsofmotionhavebeenderivedforarolling     the linearized equations of motion have been derived for a rolling 
798)timehistoriesofnoisepressuresneargroundlevelweremeasured     time histories of noise pressures near ground level were measured 
799)theboundarylayerbehindashockorthinexpansionwaveadvancing     the boundarylayer behind as h oc ko rt h in expansion wave advancing 
800)thenonlinearlargedeflectionequationsofvonkarmanforplates     then on linear large deflection equations of von karman for plates 
801)atheoreticalinvestigationofthevelocityprofilesforlaminar     at he or et i cal investigation of the velocityprofiles for laminar 
802)representativeapplicationsaredescribedwhichillustratethe     representative applications are described which illustrate the 
803)themotionofthetrailingvorticesassociatedwithaliftingwing     them o tion of the trailing vortices associated with al if ting wing 
804)anaccountisgivenofthehighsupersonicspeedtunnelnownearing     an account is given of the high supersonic speed tunnel now nearing 
805)astudyismadeofthesteadylaminarflowofacompressibleviscous     as t u dy is made of the steady laminar flow of a compressible viscous 
806)thefrictionalforceonacylindermovingsteadilyparalleltoits     the frictional force on a cylinder moving steadily parallel to its 
807)authorinvestigatestheexistenceofaclassofsimilarsolutions     author investigates the existence of a class of similar solutions 
808)thethreepartialdifferentialequationsofthelaminarboundary     the three partial differential equations of the laminarboundary 
809)amodifiedparaboliccurveappearstobeincloseproximitytothat     a modified parabolic curve appears to be in close proximity to that 
810)thevapourscreenmethodofflowvisualisationinsupersonicwind     the vapour screen method off low visualisation in supersonic wind 
811)thispaperpresentstheresultsofanexperimentalinvestigation     this paper presents there s u l t so fan experimental investigation 
812)severalslenderwingsofdeltaplanformwithsharpedgeshavebeen     several slender wings of delta planform with sharpedge s have been 
813)thetransformationofthecompressibleturbulentboundarylayer     the transformation of the compressible turbulent boundarylayer 
814)analysisismadeoftheflowfieldproducedbyobliqueimpingement     analysis is made of the flow field produced by oblique impingement 
815)thevariousdifferencepatternsnecessaryforfinitedifference     the various difference patterns necessary for finitedifference 
816)astudywasmadeofthelaminarcompressibleboundarylayerinduced     as t u dy was made of the laminar compressible boundarylayer induced 
817)someillustrationsofthedifferencesthatmaybeexpectedbetween     some illustrations of the differences that may be expected between 
818)interferometricmeasurementsweremadeofthedensityprofilesof     interferometric measurements were made of the density profiles of 
819)theleadingedgesandnosesofhypersonicvehiclesaresubjectedto     the leadingedge sand noses of hypersonic vehicles are subjected to 
820)stressandstraindistributionswerestudiedinlongflatplatesin     stress and strain distributions were studied in long flatplate sin 
821)alargeamountofworkonconicalflowfieldswithoutaxialsymmetry     al a r g e amount of work on conical flow fields without axial symmetry 
822)asolutiontosecondorderinthicknessisderivedforharmonically     as o l u tion to secondorder in thickness is derived for harmonically 
823)amethodisgivenforobtainingthesolutionofthelaminarboundary     a method is given for obtaining the solution of the laminarboundary 
824)variousapproximationsarebeingsuggestedforobtainingsurface     various approximations are beings u g g e s t e d for obtaining surface 
825)anexperimentalinvestigationwasmadeofthepressuresinducedon     an experimental investigation was made of the pressures induced on 
826)itisshownthattherotationalstiffnessofacrossedflexurepivot     it is shown that the rotational stiffness of across e d flexure pivot 
827)anumericalsolutionoftheinviscidflowfieldaboutslenderblunt     an u m er i cal solution of the inviscidflow field about slender blunt 
828)thatthevelocitypotentialforthesubsonicflowofacompressible     that the velocity potential forth e subsonic flow of a compressible 
829)thepresentarticledescribesaninvestigationofseveraltypesof     the present article describes an investigation of several types of 
830)itiswellknownthataccordingtoclassicalhydrodynamicsasteady     it is wellknown that according to classical hydrodynamics as t e a dy 
831)aseriesofexperimentswasperformedtodefinetheflowfieldonthe     as er i e so f experiments was performed to define the flow field on the 
832)authorshowsthatthedifferentialequationsdefiningtheminimum     authors how s that the differential equations defining them in im u m 
833)thisreportpresentstheresultsofanexperimentalinvestigation     this report presents there s u l t so fan experimental investigation 
834)photothermoelasticexperimentswereperformedonalongmultiweb     photothermoelastic experiments were performed on along multiweb 
835)theproblemofsolvingasymptoticdevelopmentsforallquantities     the problem of solving asymptotic developments for all quantities 
836)followingisananalyticalmethodfordesigningashroudwhichwill     following is an analytical method for designing as h r o u d which will 
837)representativeresultsarepresentedtoshowthecurrentstatusof     representative results are presented to show the currents t at us of 
838)amethodformakinganapproximatethicknesscorrectiontoslender     a method form akin g an approximate thickness correction to slender 
839)experimentalpanelflutterdatahavebeenobtainedatmachnumbers     experimental panel flutter data have been obtained atm a c h numbers 
840)thepaperdealswiththegeneralequationsforthevibrationofthin     the paper deals with the general equations forth e vibration of thin 
841)aerodynamicstiffnessanddampingderivativeshavebeenmeasured     aerodynamics t if f n e s sand damping derivatives have been measured 
842)thecroccotransformationcombinedwithamanglertransformation     the crocco transformation combined with a mangler transformation 
843)theshocktubeisshowntobeafeasibleresearchtoolforconducting     the shock tube is shown to be a feasible research tool for conducting 
844)theflutterproblemofflatcircularpanelswithedgeselastically     the flutter problem off la t circular panels with edges elastically 
845)anestimateisgivenofthedistributionofskinfrictionalforceper     an estimate is given of the distribution of skinfriction al force per 
846)sincetheconventionalelasticanalysisofthermalstressproblems     since the conventional elastic analysis of thermal stress problems 
847)resultsarepresentedofaninvestigationtodeterminetheeffectof     results are presented of an investigation to determine the effect of 
848)overarangeofincidencesonthreesimplemodelsrepresentingthick     over a range of incidences on three simple models representing thick 
849)therequirementsforsimulatinginawindtunnelflutterconditions     there q u i re m e n t s for simulating in a windtunnel flutter conditions 
850)relatestoatechniqueforapproximatedeterminationoftheinitial     relates to at e c h n i q u e for approximated eter m in at ion of the 
851)somerecenttheoreticalworkonslenderpointedwingsatzeroliftis     some recent theoretical work on slender pointed wings at zerolift is 
852)theproblemofinvestigatingthesimultaneouseffectsoftransient     the problem of investigating the simultaneous effects of transient 
853)inviewoftherecentcontroversybetweenliandglauertonthenature     in view of there cent controversy between li and glauert on then at u re 
854)aninvestigationwasmadetodeterminethesmallestsizeofisolated     an investigation was made to determine the smallest size of isolated 
855)asummaryisgivenofsomeofthemoreimportantexperimentalresults     as u mm ary is given of some of them or e important experimental results 
856)thedevelopmentoftheflowpatternonasweptwingwithincidenceand     the development of the flow pattern on as we p twin gw it h incidence and 
857)theaerodynamicstabilityderivativesduetopitchingvelocityand     the aerodynamics tab i li t y derivatives due top it c h ing velocity and 
858)theimportanceofbodyliftliesinthefactthatatmoderateanglesof     the importance of body lift lies in the fact that atm o de rate angles of 
859)inthecourseofalargersurveyofsomeaerodynamiccharacteristics     in the course of al a r g er survey of some aerodynamic characteristics 
860)chartshavebeenpreparedrelatingthethermodynamicpropertiesof     charts have been prepared relating the thermodynamic properties of 
861)liftfunctionsforwingsoffiniteaspectratiohavebeencalculated     lift functions for wings off in it e aspectratio have been calculated 
862)theeffectofairdragonsatelliteorbitsofeccentricityelessthan     the effect of air drag on satellite orbits of eccentricity e less than 
863)adislocationclimbcreepmodelisconsideredwhichdoesnotrequire     a dislocation climb creep model is considered which does not require 
864)areviewispresentedofthepublisheddataontheeffectofroughness     are view is presented of the published data on the effect ofr o u g h n e s s 
865)thisreportconsidersthelossofflexuralrigidityofathinwingdue     this report considers the loss off l e x u r al rigidity of at h in wing due 
866)thispaperisconcernedwithatheoreticalinvestigationoftheflow     this paper is concerned with at he or et i cal investigation of the flow 
867)asublayerregionisintroducedinwhichtheintensityofturbulence     as u b layer region is introduced in which the intensity of turbulence 
868)parkesandspragueandhuanghaveshownthatitispossibleforstrain     parkes and sprague and huang have shown that it is possible for strain 
869)anintegralequationforobtainingtheunsteadyairforcesonfinite     an integral equation for obtaining the unsteady airforces on finite 
870)ithasbeenshownbyludwiegthatthewallshearingstressofalaminar     it has been shown by ludwieg that the walls he a rings tr e s so f al a m 
871)generallyacceptedsolutionsfortheproblemsofhypersonicflight     generally accepted solutions forth e problems of hypersonic flight 
872)anasymptoticexpressionisfoundfortheliftdistributiononalong     an asymptotic expression is found forth e lift distribution on along 
873)atheoryisdevelopedofthesupersonicflowpastabodyofrevolution     at he or y is developed of the supersonic flow past ab o dy ofr e v o l u 
874)theequationsofmotionofcompressibleviscousflowwithvanishing     the equations of motion of compressible viscous flow with vanishing 
875)anexperimentalinvestigationwasmadeofthepressuresinducedona     an experimental investigation was made of the pressures induced on a 
876)theoreticalaspectsinvolvedinthepredictionofstresslevelsfor     theoretical aspects involved in the prediction of stress levels for 
877)abriefdescriptionoftheslottedlinersusedisgiventogetherwith     ab r i e fd e s c r i p tion of the slotted liners used is given together 
878)inthepresentpaperashortsurveywillbegivenfirstofthebuckling     in the present paper as h or t survey will be given first of the buckling 
879)analyticsolutionsarepresentedforthetransientheatconduction     analytic solutions are presented forth et r an s i e nth e at conduction 
880)aninvestigationwasmadeatsubsonicspeedsinthelangleyhighspeed     an investigation was made at subsonic speeds in the langley highspeed 
881)anextensionofworkoflockandrogersandtheresultofcooperationby     an extension of work of lock and rogers and there s u l to f cooperation by 
882)theauthorsgivetheexactsolutionforthethermaldistributionsfor     the authors give the exact solution forth et he rm al distributions for 
883)themethodisbasedontheobservationofthedivergencethatoccursin     them et h o d is based on the observation of the divergence that occurs in 
884)theflexuralvibrationsofthewallsofthincylindersareconsidered     the flexural vibrations of the walls of thin cylinders are considered 
885)experimentalstudiesofpanelflutterwereconductedatamachnumber     experimental studies of panel flutter were conducted at a machnumber 
886)ashallowsphericaldomesubjectedtolateralpressureisastructure     as hall o w spherical domes u b j e c t e d to lateral pressure is as tr 
887)asimilarsolutionofthehypersonicviscousflowpastslenderbodies     as im i la r solution of the hypersonic viscous flow past slender bodies 
888)thispaperdealswithtwolimitingcasesoflaminarheattransferover     this paper deals with two limiting cases of laminar heattransfer over 
889)thisnotecollectstogetherinonereportavailabletheoreticalwork     this note collects together in one report available theoretical work 
890)thecorrectdesignofintermediateverticalstiffenersonwebplates     the correct design of intermediate vertical stiffeners on web plates 
891)twoimportantfeaturesofhypersonicflowoverslenderorthinbodies     two important features of hypersonic flow over slender or thin bodies 
892)anaccountisgivenofexplicitsolutionsintermsofmathieufunction     an account is given of explicit solutions inter ms of mathieu function 
893)amethodispresentedfortherapidcalculationoftheincompressible     a method is presented forth er a p i d calculation of the incompressible 
894)measuredpressuredistributionsonconesarecomparedwithmodified     measured pressuredistribution so n cones are compared with modified 
895)thispaperconsiderstheproblemofcalculatingviscousaerodynamic     this paper considers the problem of calculating viscous aerodynamic 
896)aninvestigationoftheeffectsofaerodynamicheatingontheflutter     an investigation of the effects of aerodynamic heating on the flutter 
897)authorsextendvariationalprincipleofbiottovariouscasesofheat     authors extend variational principle of biot to various cases of heat 
898)themainpurposeofthisinvestigationistoexaminethedependenceof     them a in purpose of this investigation is to examine the dependence of 
899)thevariationalandlagrangianthermodynamicsdevelopedinearlier     the variational and lagrangian thermodynamics developed in earlier 
900)sponsoredanalysisoftheunsteadyperturbationsoftwodimensional     sponsored analysis of the unsteady perturbations of twodimensional 
901)thispaperpresentsananalysisofthedeflectionsofandstressesina     this paper presents an analysis of the deflections of and stresses in a 
902)thisreportdescribesamethodwhichhasbeendevelopedformeasuring     this report describes a method which has been developed form e as u ring 
903)adetaileddescriptionisgivenofamethodofapproximatingsolutions     a detailed description is given of a method of approximating solutions 
904)thenonviscousincompressibleflowthroughatypicalpumpimpelleris     then on viscous incompressible flow through at y p i cal pump impeller is 
905)thetotalliftresponsesofwingstosinusoidalgustsandtosinusoidal     the total lift responses of wings to sinusoidal gusts and to sinusoidal 
906)thebasicproblemsoffluttertestinginthelowsupersonicspeedrange     the basic problems off l u t t er testing in the low supersonic speed range 
907)amethodisdescribedformeasuringthedynamicstabilityderivatives     a method is described form e as u ring the dynamics tab i li t y derivatives 
908)amethodispresentedforanalysisofthecompressibleflowbetweenthe     a method is presented for analysis of the compressibleflow between the 
909)thelaminarjetmixingproblemswithheatreleasehavebeenformulated     the laminar jet mixing problems with heat release have been formulated 
910)energyexpressionsandtherelatedequilibriumequationsandnatural     energy expressions and there late de q u i li b r i u m equations and natural 
911)amethodofcalculatingthetotalquantityofheatthatpassesthrougha     a method of calculating the total quantity of heat that passes through a 
912)thecompressibilitytransformationfirstintroducedbydorodnitzyn     the compressibility transformation first introduced by dorodnitzyn 
913)theflowofanidealdissociatinggasthroughanearlyconicalnozzleis     the flow of an ideal dissociating gas through an early conical nozzle is 
914)aninvestigationhasbeenconductedinthelangleypropellerresearch     an investigation has been conducted in the langley propellerresearch 
915)subsonicspanloadsandtheresultingstabilityderivativeshavebeen     subsonic span loads and there s u l ting stability derivatives have been 
916)thermalstressdistributionsinuniformcircularcylindricalshells     thermal stress distributions in uniform circularcylindrical shells 
917)inconnectionwithastudyofthewakesbehindbodiesinhypersonicflow     in connection with as t u dy of the wakes behind bodies in hypersonic flow 
918)chartsofthermodynamicpropertiesforequilibriumairarepresented     charts of thermodynamic properties fore q u i li b r i u m air are presented 
919)planeandaxisymmetrichypersonicgasflowsareconsideredwithshock     plane and axisymmetric hypersonic gas flows are considered with shock 
920)experimentsoftransonicflowpastacirculararcprofileshowthatthe     experiments of transonic flow past a circular arc profiles how that the 
921)descriptivetheoryofdeformationhasbeendevelopedindetailforthe     descriptive theory of deformation has been developed in detail forth e 
922)aninvestigationhasbeenmadetodeterminejeteffectsoncylindrical     an investigation has been made to determine jet effects on cylindrical 
923)theboundarylayeronaslenderbodytendstobeverythickathypersonic     the boundarylayer on as lend er body tends to be very thick at hypersonic 
924)anattempthasbeenmadetoidentifythesignificantfactorsgoverning     an attempt has been made to identify the significant factors governing 
925)aninvestigationwasmadetodeterminethecombinedeffectsofsurface     an investigation was made to determine the combined effects of surface 
926)themeasurementofrocketexhausteffectsonvehiclestabilityandthe     them e as u re m e n to f rocket exhaust effects on vehicles tab i li t y 
927)theinteractionbetweenshockwavesandboundarylayershasimportant     the interaction between shockwaves and boundarylayer s has important 
928)followingamajorassumptionthatenthalpyandvelocityaredependent     following a major assumption that enthalpy and velocity are dependent 
929)thispaperreviewssomeoftheexperiencetodateofusingsandwichtype     this paper reviews some of the experience to date of using sandwich type 
930)anexactanalyticalsolutionoftheequationsofinviscidcompressible     an exact analytical solution of the equations of inviscid compressible 
931)aformulaforthevelocityfieldintermsofagivensurfacedistribution     a formula forth e velocity field inter ms of a given surface distribution 
932)arapidapproximatemethodforthedesignofcentrifugalcompressorsof     a rapid approximate method forth e design of centrifugal compressors of 
933)anexperimentalinvestigationhasbeenmadetoindicatethevalidityof     an experimental investigation has been made to indicate the validity of 
934)thehypersonicsimilaritylawasderivedbytsienhasbeeninvestigated     the hypersonic similarity law as derived by tsien has been investigated 
935)severalbluntbodieshavingshapesthatmaybesuitableforatmospheric     several blunt bodies having shapes that may be suitable for atmospheric 
936)thereciprocalequationsforrelatingtheincompressiblecirculatory     there c i proc al equations for relating the incompressible circulatory 
937)amodelisanalyzedwhichexhibitstheimportantpropertiesassociated     a model is analyzed which exhibits the important properties associated 
938)somediscussionoftheacousticfatigueproblemofaircraftstructures     some discussion of the acoustic fatigue problem of aircraft structures 
939)themotionofanincompressibleviscousfluidgeneratedbyacylinderof     them o tion of an incompressible viscous fluid generated by a cylinder of 
940)directpitchingmomentderivativeshavebeenmeasuredusingthemethod     direct pitchingmoment derivatives have been measured using them et h o d 
941)ageneralisedconicalflowtheoryisusedtodeduceanintegralequation     age n er al is e d conical flow theory is used to deduce an integral equation 
942)theoriginalpapergaveacorrelationformulaforstagnationpointheat     the original paper gave a correlation formula for stagnationpoint heat 
943)thepresentpaperdescribesamethodfortheapproximatesolutionofthe     the present paper describes a method forth e approximates o l u tion of the 
944)aninvestigationhasbeenconductedatvariousreynoldsnumbersandlow     an investigation has been conducted at various reynolds numbers and low 
945)representativeexperimentalresultsarepresentedtoshowthecurrent     representative experimental results are presented to show the current 
946)streamofviscousincompressiblefluidoveranotheratrestisextended     stream of viscous incompressible fluid over another at rest is extended 
947)thetheorypreviouslydevelopedforthechangesintheperigeedistance     the theory previously developed forth e changes in the perigee distance 
948)ageneralanalyticalprocedureisoutlinedforstructuressubjectedto     age n er al analytical procedure is outlined for structures subjected to 
949)thispaperisapreliminaryandbriefaccountofsomeresearchcurrently     this paper is a preliminary and brief account of some research currently 
950)detailsaregivenofaprogrammeoftestsbeingmadeonsimilarsweptwing     details are given of a programme of tests being made on similar sweptwing 
951)theequationsofmotionofatumblingflatplateenteringanexponential     the equations of motion of at u m b lin g flatplate entering an exponential 
952)themethodpreviouslydescribedhasbeenrefinedbytakingintoaccount     them et h o dp rev i o us l y described has been refined by taking into account 
953)ananalyticalmethodforthedeterminationofeffectofshockcurvature     an analytical method forth e determination of effect of shock curvature 
954)atmosphericdensitieshavebeenderivedfromartificialsatellitesin     atmospheric densities have been derived from artificial satellites in 
955)ontheassumptionofinfinitelysmalldisturbancestheauthordevelops     on the assumption of infinitely small disturbances the author develops 
956)thestressesintheplasticrangearoundanormallyloadedcircularhole     the stresses in the plastic range around an or m all y loaded circular hole 
957)theboundarylayerequationsforuniformflowparalleltothegenerators     the boundarylayer equations for uniform flow parallel to the generators 
958)astudyismadeoftheadvantagesthatcanberealizedincompressibleflow     as t u dy is made of the advantages that can ber e al i z e d incompressible flow 
959)thisreportdescribesanexperimentalinvestigationoftheequivalence     this report describes an experimental investigation of the equivalence 
960)anumberofauthorshaveconsideredtheeffectofslipontheheattransfer     an u m ber of authors have considered the effect of slip on the heattransfer 
961)thispaperconsiderstheimplicationsofrecentadvancesinknowledgeof     this paper considers the implications ofr e cent advances ink now led g e of 
962)thelaminarflowofaviscousincompressiblefluidoveratwodimensional     the laminar flow of a viscous incompressible fluid over at w o dimensional 
963)toinvestigatethetheoreticalpredictionsoflighthillonaerodynamic     to investigate the theoretical predictions of lighthill on aerodynamic 
964)thispaperdiscussesthebasicprinciplesemployedintechniquesforthe     this paper discusses the basic principles employed in techniques forth e 
965)theindicialliftandmomentfunctionsaredeterminedapproximatelyfor     the indicial lift and moment functions are determined approximately for 
966)theapproximatetheoryofflowaboutslenderbodiesandwingsoriginated     the approximate theory off low about slender bodies and wings originated 
967)determinethestaticlongitudinalstabilitycharacteristicsofamodel     determine the static longitudinal stability characteristics of a model 
968)thedynamicbehavioroftwoprobevehiclesenteringamartianatmosphere     the dynamic behavior of two probe vehicles entering a martian atmosphere 
969)theeffectofvorticityonaxisymmetricstagnationpointboundarylayer     the effect of vorticity on axisymmetric stagnationpoint boundarylayer 
970)testswereconductedatthelangleyresearchcenterontwowingedlifting     tests were conducted at the langley research center on two winged lifting 
971)thestaticaeroelasticstabilityordivergenceproblemisinvestigated     the static aeroelastic stability or divergence problem is investigated 
972)extensivetablesaregivenofpressurecoefficientsmeasuredatreynolds     extensive tables are given of pressure coefficients measured at reynolds 
973)thefreeoscillationsofathinpressurizedcylindricalshellcontaining     the free oscillations of at h in pressurized cylindrical shell containing 
974)someexperimentalandtheoreticalstudieshavebeenmadeofaxisymmetric     some experimental and theoretical studies have been made of axisymmetric 
975)adiscussionofdifferencesarisingbetweenexperimentalandanalytical     a discussion of differences arising between experimental and analytical 
976)theflowandheattransferaboutarotatingisothermaldiskarereexamined     the flow and heattransfer about a rotating isothermal disk are reexamined 
977)thesubjectofmatricstructuralanalysishasbeentreatedintworecently     the subject of matric structural analysis has been treated in two recently 
978)theincompressibleflowofanelectricallyconductingfluidpastaporous     the incompressible flow of an electrically conducting fluid past a porous 
979)theresultsofapreliminaryexperimentalinvestigationtodeterminethe     there s u l t so f a preliminary experimental investigation to determine the 
980)thedeterminationofthenaturalfrequenciesandnormalmodesofvibration     the determination of then at u r al frequencies and normal modes of vibration 
981)theuseofstagecharacteristicsobtainedfromtestdataintheperformance     the use of stage characteristics obtained from test data in the performance 
982)thisreporttreatsthekernelfunctionofanintegralequationthatrelates     this report treats the kernelfunction of an integral equation that relates 
983)arapidapproximatemethodofanalysiswasdevelopedforbothcompressible     a rapid approximate method of analysis was developed for both compressible 
984)statisticaltheoryingeneralconsidersmeanvaluesofcertainquantities     statistical theory ing e n er al considers mean values of certain quantities 
985)hypersonicflowatlowreynoldsnumberisstudiedutilizingtheshocklayer     hypersonic flow at low reynolds number is studied utilizing the shocklayer 
986)aninvestigationwasmadetodeterminetheinterferenceeffectsonsurface     an investigation was made to determine the interference effects on surface 
987)thisnotepresentssomephysicalinterpretationsofmagnetohydrodynamic     this note presents some physical interpretations of magnetohydrodynamic 
988)theconfluenthypergeometricfunctionshaveprovedusefulinmanybranches     the confluent hypergeometric functions have proved useful in many branches 
989)theexperimentallydeterminedinteractioneffectsofasidejetexhausting     the experimentally determined interaction effects of aside jet exhausting 
990)publishedexperimentalresultsareassembledtosupportapreviouslygiven     published experimental results areas s e m b led to support a previouslygiven 
991)aninvestigationoftheeffectsoftheinteractionaheadofatwodimensional     an investigation of the effects of the interaction ahead of at w o dimensional 
992)anumericalsolutionispresentedtothetransientheatconductionequation     an u m er i cal solution is presented to the transient heat conduction equation 
993)thisnotegivesformulaeandapproximationssuitableformakingpreliminary     this note gives formulae and approximations suitable form akin g preliminary 
994)incalculationsofthermodynamicheatingforhighspeedmissilesparameters     in calculations of thermodynamic heating for highspeed missiles parameters 
995)problemsonheatconductioninmultilayerbodiesleadusuallytocomplicated     problems on heat conduction in multilayer bodies lead usually to complicated 
996)astudyofexperimentalpressuredistributionsandsectioncharacteristics     as t u dy of experimental pressuredistribution sand section characteristics 
997)designchartsbasedontheanalyticalsolutiontotheproblemofonedimensional     design charts based on the analytical solution to the problem of onedimensional 
998)thestabilityofcircularcylindricalshellsunderpurebendingisinvestigated     the stability of circularcylindrical shells under pure bending is investigated 
999)acomparisonismadeofseveraldifferentpropulsionsystemsforinterplanetary     a comparison is made of several different propulsion systems for interplanetary 
